,SubDivName,medianPrSqFt_2000,medianHage_2000,medianHPrice_2000,medianPrSqFt_2005,medianHage_2005,medianHPrice_2005,medianPrSqFt_2010,medianHage_2010,medianHPrice_2010,medianPrSqFt_2015,medianHage_2015,medianHPrice_2015,medianPrSqFt_2020,medianHage_2020,medianHPrice_2020,subDivAge_2000,subDivAge_2005,subDivAge_2010,subDivAge_2015,subDivAge_2020
335,HAYES BARTON TERRACE,139.0,48.0,223255.0,135.0,53.0,235567.0,200.354,57.0,460726.0,211.0,60.0,521034.0,251.0,66.0,668622.0,52.0,57.0,62.0,67.0,72.0
336,HEARTHRIDGE,59.5,17.5,233844.0,59.0,22.5,233844.0,78.9045,28.0,264033.0,77.0,33.0,253994.0,102.0,37.0,401367.0,20.0,25.0,30.0,35.0,40.0
337,HEATHER DRIVE TOWNHOMES,74.0,64.5,104837.0,74.0,69.5,104837.0,128.274,74.5,160355.5,113.0,2.0,151779.5,179.0,4.0,385180.0,void,void,0.0,5.0,10.0
338,HEATHERBROOK,89.0,14.0,119423.0,89.0,19.0,119423.0,110.13550000000001,24.0,150242.5,103.5,29.0,142512.5,140.5,34.0,195310.5,15.0,20.0,25.0,30.0,35.0
339,HEATHERBROOK TOWNHOMES,67.0,13.0,71535.0,67.0,18.0,71535.0,74.7555,23.0,91702.0,65.0,28.0,79708.0,107.0,33.0,130031.0,12.0,17.0,22.0,27.0,32.0
340,HEDGEMOOR,87.0,20.0,167080.0,85.0,25.0,172181.0,131.342,30.0,265987.0,134.0,35.0,274448.5,163.0,40.0,341371.0,23.0,28.0,33.0,38.0,43.0
341,HEDINGHAM VILLAGE,85.5,11.0,121612.0,85.0,16.0,121913.0,103.667,21.0,147530.0,103.0,26.0,148126.0,139.0,31.0,200437.0,13.0,18.0,23.0,28.0,33.0
342,HENDERSON STREET,94.0,48.0,139056.5,94.0,53.0,139056.5,227.516,3.0,533510.0,225.0,8.0,533545.0,248.0,13.0,586096.5,void,void,4.0,9.0,14.0
343,HENRY N HAWKINS,80.5,33.0,134374.5,77.0,38.0,131720.5,101.009,43.0,165767.0,92.0,48.0,159178.5,126.0,53.0,208595.0,38.0,43.0,48.0,53.0,58.0
344,HERITAGE HEIGHTS,64.5,28.5,139854.0,64.5,33.5,139854.0,101.943,38.0,229777.0,105.0,43.0,244119.0,162.0,48.0,410985.5,33.0,38.0,43.0,48.0,53.0
345,HERNDON OAKS TOWNHOMES,86.0,46.0,40000.0,106.0,51.0,88604.0,104.09200000000001,3.0,140732.0,73.0,8.0,98962.0,113.0,13.0,153175.0,void,void,3.0,8.0,13.0
346,HERNDON PLACE,73.0,41.0,47218.0,62.5,1.0,158545.0,79.357,6.0,199854.0,81.0,11.0,208543.0,143.5,16.0,362237.0,void,2.0,7.0,12.0,17.0
347,HERTFORD VILLAGE,80.0,47.0,73010.0,80.0,52.0,73121.5,100.584,57.0,92534.0,105.0,62.0,97413.0,168.0,67.0,158117.0,void,void,void,void,void
348,HESS,173.0,12.0,438637.0,143.0,17.0,375880.0,216.99599999999998,22.0,538414.0,207.5,27.0,526440.5,238.0,32.0,629707.5,13.0,18.0,23.0,28.0,33.0
349,HI MOUNT,135.0,50.0,133770.5,132.0,55.0,133770.5,210.88350000000003,61.0,249939.0,209.0,65.0,290394.0,254.0,68.0,534897.5,53.0,58.0,63.0,68.0,73.0
350,HI-MOUNT EXTENSION,154.5,51.0,95556.5,141.0,56.0,87542.5,203.56099999999998,31.5,338955.5,204.0,7.0,490523.0,268.0,12.0,656412.0,void,void,2.0,7.0,12.0
351,HICKORY HILLS,79.0,29.0,179844.0,79.0,34.0,180288.5,111.807,39.0,255787.0,126.5,44.0,296680.0,170.0,49.0,390519.0,29.0,34.0,39.0,44.0,49.0
352,HICKORY HOLLOW,80.0,14.0,175521.0,80.0,19.0,175521.0,107.51799999999999,24.0,241215.0,125.0,29.0,278643.0,157.0,34.0,346529.0,15.0,20.0,25.0,30.0,35.0
